ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
format = csv
Title = Sorghum_Gatton_Tiller_x_Density_4 outputfileArea
DaysAfterSowing,CulmArea,lai,TPLA,LeafNo,deltaTT,radn
(days),(),(m2/m2),(m2),(leaves),(oCd),()
64,471910.343750,352986.343750,352986.343750,7.332233,6425.486759,17.101852,12.482102,23.049999
65,471910.343750,361977.656250,361977.656250,7.187593,6425.486759,17.101852,12.883528,23.680000
66,471910.343750,361977.656250,361977.656250,7.058309,6425.486759,17.101852,11.298592,27.129999
67,471910.343750,361977.656250,361977.656250,6.955150,6425.486759,17.101852,12.012955,27.549999
68,471910.343750,361977.656250,361977.656250,6.860645,6425.486759,17.101852,15.119524,20.350000
69,471910.343750,361977.656250,361977.656250,6.766079,6425.486759,17.101852,15.141324,15.080000
70,471910.343750,361977.656250,361977.656250,6.663760,6425.486759,17.101852,14.120000,9.550000
71,471910.343750,361977.656250,361977.656250,6.544146,6425.486759,17.101852,11.030000,6.740000
72,471910.343750,361977.656250,361977.656250,6.410135,6425.486759,17.101852,10.285000,7.000000
73,471910.343750,361977.656250,361977.656250,6.280673,6425.486759,17.101852,12.255000,13.980000
74,471910.343750,361977.656250,361977.656250,6.152946,6425.486759,17.101852,13.500000,14.720000
75,471910.343750,361977.656250,361977.656250,6.035048,6425.486759,17.101852,13.250000,21.049999
76,471910.343750,361977.656250,361977.656250,6.035048,6425.486759,17.101852,13.570000,24.750000
77,471910.343750,361977.656250,361977.656250,6.035048,6425.486759,17.101852,13.503615,25.709999
78,471910.343750,361977.656250,361977.656250,6.035048,6425.486759,17.101852,13.144114,26.520000
79,471910.343750,361977.656250,361977.656250,6.035048,6425.486759,17.101852,13.366904,23.430000
80,471910.343750,361977.656250,361977.656250,5.957291,6425.486759,17.101852,13.875000,17.219999
81,471910.343750,361977.656250,361977.656250,5.957291,6425.486759,17.101852,13.662443,26.730000
82,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,15.356899,15.750000
83,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,14.399115,23.920000
84,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,14.852228,23.450001
85,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,14.400001,18.620001
86,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,12.645079,23.870001
87,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,12.720000,23.770000
88,471910.343750,361977.656250,361977.656250,5.942027,6425.486759,17.101852,14.050000,27.700001
89,471910.343750,361977.656250,361977.656250,5.939033,6425.486759,17.101852,12.659090,24.690001
90,471910.343750,361977.656250,361977.656250,5.939033,6425.486759,17.101852,13.777742,25.400000
91,471910.343750,361977.656250,361977.656250,5.939033,6425.486759,17.101852,14.658001,22.120001
92,471910.343750,361977.656250,361977.656250,5.909145,6425.486759,17.101852,13.052036,29.219999
93,471910.343750,361977.656250,361977.656250,5.846057,6425.486759,17.101852,12.114004,28.959999
94,471910.343750,361977.656250,361977.656250,5.788077,6425.486759,17.101852,12.969061,27.330000
95,471910.343750,361977.656250,361977.656250,5.788077,6425.486759,17.101852,14.215000,12.110000
96,471910.343750,361977.656250,361977.656250,5.780078,6425.486759,17.101852,15.598524,21.639999
97,471910.343750,361977.656250,361977.656250,5.738081,6425.486759,17.101852,13.800484,22.379999
98,471910.343750,361977.656250,361977.656250,5.707558,6425.486759,17.101852,14.821972,20.900000
99,471910.343750,361977.656250,361977.656250,5.636508,6425.486759,17.101852,14.185659,23.160000
100,471910.343750,361977.656250,361977.656250,5.568094,6425.486759,17.101852,13.864399,19.540001
101,471910.343750,361977.656250,361977.656250,5.550675,6425.486759,17.101852,14.907342,15.390000
102,471910.343750,361977.656250,361977.656250,5.450688,6425.486759,17.101852,11.799999,6.980000
