ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
format = csv
Title = Sorghum_Gatton_Tiller_x_Density_3 outputfileArea
DaysAfterSowing,CulmArea,lai,TPLA,LeafNo,deltaTT,radn
(days),(),(m2/m2),(m2),(leaves),(oCd),()
61,471910.343750,282835.968750,340702.218750,324592.375000,7.058124,9638.705887,17.101852,13.615000,20.270000
62,471910.343750,294606.562500,349798.781250,341069.062500,6.996406,9685.788242,17.101852,10.780000,20.090000
63,471910.343750,303926.218750,364563.781250,349425.468750,6.923592,9723.066816,17.101852,12.940000,19.920000
64,471910.343750,315113.250000,376314.531250,357478.656250,6.860483,9767.814937,17.101852,12.482102,23.049999
65,471910.343750,323622.343750,384546.812500,357617.000000,6.790247,9801.851362,17.101852,12.883528,23.680000
66,471910.343750,340764.093750,384546.812500,357617.000000,6.755551,9870.418379,17.101852,11.298592,27.129999
67,471910.343750,351579.656250,384546.812500,357617.000000,6.717278,9913.680556,17.101852,12.012955,27.549999
68,471910.343750,361635.375000,384546.812500,357617.000000,6.678738,9953.903478,17.101852,15.119524,20.350000
69,471910.343750,361977.656250,384546.812500,357617.000000,6.642476,10004.043874,17.101852,15.141324,15.080000
70,471910.343750,361977.656250,384546.812500,357617.000000,6.592690,10054.260948,17.101852,14.120000,9.550000
71,471910.343750,361977.656250,384546.812500,357617.000000,6.481504,10055.911782,17.101852,11.030000,6.740000
72,471910.343750,361977.656250,384546.812500,357617.000000,6.353757,10055.911782,17.101852,10.285000,7.000000
73,471910.343750,361977.656250,384546.812500,357617.000000,6.229933,10055.911782,17.101852,12.255000,13.980000
74,471910.343750,361977.656250,384546.812500,357617.000000,6.107279,10055.911782,17.101852,13.500000,14.720000
75,471910.343750,361977.656250,384546.812500,357617.000000,5.993948,10055.911782,17.101852,13.250000,21.049999
76,471910.343750,361977.656250,384546.812500,357617.000000,5.993948,10055.911782,17.101852,13.570000,24.750000
77,471910.343750,361977.656250,384546.812500,357617.000000,5.993948,10055.911782,17.101852,13.503615,25.709999
78,471910.343750,361977.656250,384546.812500,357617.000000,5.993948,10055.911782,17.101852,13.144114,26.520000
79,471910.343750,361977.656250,384546.812500,357617.000000,5.993948,10055.911782,17.101852,13.366904,23.430000
80,471910.343750,361977.656250,384546.812500,357617.000000,5.920302,10055.911782,17.101852,13.875000,17.219999
81,471910.343750,361977.656250,384546.812500,357617.000000,5.920302,10055.911782,17.101852,13.662443,26.730000
82,471910.343750,361977.656250,384546.812500,357617.000000,5.908736,10055.911782,17.101852,15.356899,15.750000
83,471910.343750,361977.656250,384546.812500,357617.000000,5.908736,10055.911782,17.101852,14.399115,23.920000
84,471910.343750,361977.656250,384546.812500,357617.000000,5.908736,10055.911782,17.101852,14.852228,23.450001
