ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
format = csv
Title = Sorghum_Gatton_Tiller_x_Density_1 outputfileArea
DaysAfterSowing,CulmArea,lai,TPLA,LeafNo,deltaTT,radn
(days),(),(m2/m2),(m2),(leaves),(oCd),()
57,471910.343750,270318.156250,270318.156250,282471.500000,272525.375000,257242.671875,162759.687500,3.667215,18336.073287,17.070084,15.699601,16.250000
58,471910.343750,285609.093750,285609.093750,300449.812500,288710.281250,271817.968750,173227.812500,3.818768,19093.837558,17.101852,14.010068,21.750000
59,471910.343750,297721.218750,297721.218750,313699.156250,301151.718750,283354.750000,180456.781250,3.934749,19673.745499,17.101852,14.090527,22.059999
60,471910.343750,309902.906250,309902.906250,326910.343750,313664.593750,294957.781250,187727.250000,4.051168,20255.841308,17.101852,15.219300,19.010000
61,471910.343750,321487.312500,321487.312500,340702.218750,324592.375000,303506.718750,193597.843750,4.158914,20794.568075,17.101852,13.615000,20.270000
62,471910.343750,339602.312500,339602.312500,349798.781250,341069.062500,317367.062500,201095.250000,4.301925,21509.622978,17.101852,10.780000,20.090000
63,471910.343750,350355.781250,350355.781250,364563.781250,349425.468750,322827.531250,204201.234375,4.398826,21994.129670,17.101852,12.940000,19.920000
64,471910.343750,361400.156250,361400.156250,376314.531250,357478.656250,327872.437500,206725.781250,4.490518,22452.588563,17.101852,12.482102,23.049999
65,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.573397,22866.982900,17.101852,12.883528,23.680000
66,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.659168,23295.839705,17.101852,11.298592,27.129999
67,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.702662,23513.312444,17.101852,12.012955,27.549999
68,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,15.119524,20.350000
69,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,15.141324,15.080000
70,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,14.120000,9.550000
71,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,11.030000,6.740000
72,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,10.285000,7.000000
73,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,12.255000,13.980000
74,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.500000,14.720000
75,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.250000,21.049999
76,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.570000,24.750000
77,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.503615,25.709999
78,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.144114,26.520000
79,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.366904,23.430000
80,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.875000,17.219999
81,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,13.662443,26.730000
82,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,15.356899,15.750000
83,471910.343750,361977.656250,361977.656250,384546.812500,357617.000000,327872.437500,206770.531250,4.708633,23543.164339,17.101852,14.399115,23.920000
