ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
Title = Sorghum_Gatton_Tiller_x_Density_4 outputfile_daily
           date DaysAfterSowing         Leafno            lai        tillers   tillersAdded      linearLAI calculatedTillers         Supply         Demand       sw_dep()            SLA         maxSLA     ll15_dep()      dul_dep()        WaterSD        Biomass          yield        GrainNo          stage     biomass_wt   GrainGreenWt  RachisGreenWt    StemGreenWt      GrainSize LeafSenescedWt TillerNoFertile           TPLA           SPLA        DeltaTT    LeafGreenWt       DeltaLAI  DeltaGreenN()            lai           slai           GPLA         reeves
   (dd/mm/yyyy)          (days)       (leaves)        (m2/m2)             ()             ()             ()                ()             ()             ()           (mm)        (cm2/g)        (cm2/g)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)   (grains/m^2)             ()         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)  (g/1000grain)        (g/m^2) (tillers/plant)           (m2)           (m2)          (oCd)        (g/m^2)        (m2/m2)        (g/m^2)        (m2/m2)        (m2/m2)           (m2)             ()
     23/10/1998               1          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        748.105          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          1.999          0.000           0.00           0.00           0.00          0.000           0.00           0.200          0.000          0.000          8.990           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     24/10/1998               2          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        744.896          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.000          0.000           0.00           0.00           0.00          0.000           0.00           0.200          0.000          0.000         10.515           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     25/10/1998               3          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        743.769          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.535          0.000           0.00           0.00           0.00          0.000           0.00           0.200          0.000          0.000          7.165           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     26/10/1998               4          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        751.437          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.947          0.000           0.00           0.00           0.00          0.000           0.00           0.200          0.000          0.000         13.595           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     27/10/1998               5          1.000          0.003          0.000          0.000          0.000             0.000          0.000          0.000        747.113         20.000          0.000        486.000        753.000          1.000           32.0            0.0          0.000          3.000          3.200           0.00           0.00           1.60          0.000           0.00           0.200          2.000          0.000         13.907           1.60          0.000           0.04          0.003          0.000          0.000        400.000
     28/10/1998               6          1.339          0.005          0.000          0.000          0.000             0.000          0.000          0.000        745.282         32.688          0.000        486.000        753.000          1.000           32.5            0.0          0.000          3.261          3.249           0.00           0.00           1.60          0.000           0.00           0.200          3.368          0.000         13.907           1.65          0.002           0.02          0.005          0.000          0.000        400.000
     29/10/1998               7          1.678          0.008          0.000          0.000          0.000             0.000          0.000          0.000        744.024         49.448          0.000        486.000        753.000          1.000           33.2            0.0          0.000          3.370          3.319           0.00           0.00           1.60          0.000           0.00           0.200          5.308          0.000         10.925           1.72          0.003           0.01          0.008          0.000          0.000        400.000
     30/10/1998               8          1.945          0.010          0.000          0.000          0.000             0.000          0.000          0.000        746.417         58.093          0.000        486.000        753.000          1.000           33.6            0.0          0.000          3.463          3.357           0.00           0.00           1.60          0.000           0.00           0.200          6.374          0.000          9.250           1.76          0.002           0.00          0.010          0.000          0.000        399.243
     31/10/1998               9          2.170          0.016          0.000          0.000          0.000             0.000          0.000          0.000        746.987         83.014          0.000        486.000        753.000          1.000           34.8            0.0          0.000          3.590          3.479           0.00           0.00           1.60          0.000           0.00           0.200          9.727          0.000         12.783           1.87          0.005           0.01          0.016          0.000          0.000        394.405
     01/11/1998              10          2.482          0.021          0.000          0.000          0.000             0.000          0.000          0.000        744.678        105.637          0.000        486.000        753.000          1.000           36.1            0.0          0.000          3.685          3.606           0.00           0.00           1.61          0.000           0.00           0.200         13.191          0.000          9.510           2.00          0.006           0.01          0.021          0.000          0.000        390.308
     02/11/1998              11          2.714          0.033          0.000          0.000          0.000             0.000          0.000          0.000        743.506        145.693          0.000        486.000        753.000          1.000           38.8            0.0          0.000          3.765          3.878           0.00           0.00           1.62          0.000           0.00           0.200         20.587          0.000          7.950           2.26          0.012           0.01          0.033          0.000          0.000        384.647
     03/11/1998              12          2.908          0.050          0.000          0.000          0.000             0.000          0.000          0.000        742.490        190.058          0.000        486.000        753.000          1.000           42.8            0.0          0.000          3.834          4.281           0.00           0.00           1.63          0.000           0.00           0.200         31.440          0.000          6.930           2.65          0.017           0.02          0.050          0.000          0.000        380.435
     04/11/1998              13          3.077          0.068          0.000          0.000          0.000             0.000          0.000          0.000        741.510        207.699          0.000        486.000        753.000          1.000           49.2            0.0          0.000          3.909          4.918           0.00           0.00           1.67          0.000           0.00           0.200         42.225          0.000          7.441           3.25          0.017           0.03          0.068          0.000          0.000        376.915
     05/11/1998              14          3.259          0.086          0.000          0.000          0.000             0.000          0.000          0.000        740.577        212.253          0.000        486.000        753.000          1.000           57.7            0.0          0.000          4.000          5.767           0.00           0.00           1.71          0.000           0.00           0.200         53.805          0.000         10.460           4.06          0.019           0.04          0.086          0.000          0.000        373.845
     06/11/1998              15          3.514          0.114          0.000          0.000          0.000             0.000          0.000          0.000        739.604        220.397          0.000        486.000        753.000          1.000           69.4            0.0          0.000          4.067          6.943           0.00           0.00           1.78          0.000           0.00           0.200         71.098          0.000         10.999           5.16          0.028           0.06          0.114          0.000          0.000        370.550
     07/11/1998              16          3.782          0.154          0.000          0.000          0.000             0.000          0.000          0.000        738.604        230.963          0.000        486.000        753.000          1.000           85.6            0.0          0.000          4.133          8.563           0.00           0.00           1.89          0.000           0.00           0.200         96.283          0.000         11.935           6.67          0.040           0.07          0.154          0.000          0.000        365.917
     08/11/1998              17          4.073          0.198          0.000          0.000          0.000             0.000          0.000          0.000        737.524        237.788          0.000        486.000        753.000          1.000          103.5            0.0          0.000          4.194         10.352           0.00           0.00           2.03          0.000           0.00           0.200        123.610          0.000         11.330           8.32          0.044           0.08          0.198          0.000          0.000        361.046
     09/11/1998              18          4.349          0.239          0.000          0.000          0.099             0.000          0.000          0.000        736.794        253.498          0.000        486.000        753.000          1.000          115.9            0.0          0.000          4.270         11.586           0.00           0.00           2.15          0.000           0.00           0.200        149.552          0.000         13.750           9.44          0.042           0.04          0.239          0.000          0.000        355.761
     10/11/1998              19          4.685          0.303          0.000          0.000          0.120             0.000          0.000          0.000        736.045        278.602          0.000        486.000        753.000          1.000          132.0            0.0          0.000          4.327         13.203           0.00           0.00           2.31          0.000           0.00           0.200        189.659          0.000         10.435          10.89          0.064           0.07          0.303          0.000          0.000        350.743
     11/11/1998              20          4.939          0.359          0.000          0.000          0.152             0.000          0.000          0.000        734.734        260.728          0.000        486.000        753.000          1.000          164.5            0.0          0.000          4.381         16.452           0.00           0.00           2.69          0.000           0.00           0.200        224.269          0.000         10.020          13.76          0.055           0.12          0.359          0.000          0.000        344.653
     12/11/1998              21          5.184          0.412          2.000          1.000          0.179             5.394     336847.057      19952.209        734.121        274.705        302.035        486.000        753.000          1.000          178.7            0.0          0.000          4.439         17.868           0.00           0.00           2.87          0.000           0.00           0.200        257.502          0.000         10.470          15.00          0.053           0.05          0.412          0.000          0.000        340.032
     13/11/1998              22          5.439          0.472          2.000          2.000          0.206             5.394     336847.057      19952.209        734.553        289.050        297.861        486.000        753.000          1.000          194.2            0.0          0.000          4.489         19.420           0.00           0.00           3.09          0.000           0.00           0.200        295.097          0.000          9.210          16.33          0.060           0.07          0.472          0.000          0.000        335.594
     14/11/1998              23          5.664          0.567          2.000          2.000          0.236             5.394     336847.057      19952.209        765.711        267.096        294.190        486.000        753.000          1.000          251.7            0.0          0.000          4.563         25.174           0.00           0.00           3.95          0.000           0.00           0.200        354.260          0.000         13.615          21.22          0.095           0.15          0.567          0.000          0.000        330.957
     15/11/1998              24          5.996          0.734          2.000          2.000          0.283             5.394     336847.057      19952.209        760.341        270.717        288.764        486.000        753.000          1.000          321.8            0.0          0.000          4.636         32.181           0.00           0.00           5.08          0.000           0.00           0.200        458.475          0.000         13.233          27.10          0.167           0.23          0.734          0.000          0.000        326.878
     16/11/1998              25          6.319          0.896          2.000          2.000          0.367             5.394     336847.057      19952.209        755.010        261.455        283.489        486.000        753.000          1.000          408.8            0.0          0.000          4.704         40.883           0.00           0.00           6.63          0.000           0.00           0.200        559.762          0.000         12.541          34.26          0.162           0.28          0.896          0.000          0.000        320.849
     17/11/1998              26          6.624          1.066          2.000          2.000          0.448             5.394     336847.057      19952.209        750.475        258.007        278.491        486.000        753.000          1.000          496.2            0.0          0.000          4.767         49.618           0.00           0.00           8.32          0.000           0.00           0.200        666.011          0.000         11.490          41.30          0.170           0.28          1.066          0.000          0.000        314.988
     18/11/1998              27          6.905          1.261          2.000          2.000          0.533             5.394     336847.057      19952.209        746.659        264.358        273.911        486.000        753.000          1.000          576.9            0.0          0.000          4.822         57.688           0.00           0.00          10.00          0.000           0.00           0.200        787.960          0.000         10.050          47.69          0.195           0.29          1.261          0.000          0.000        309.434
     19/11/1998              28          7.150          1.435          2.000          2.000          0.630             5.394     336847.057      19952.209        750.997        250.007        269.905        486.000        753.000          1.000          701.5            0.0          0.000          4.866         70.154           0.00           0.00          12.77          0.000           0.00           0.200        896.638          0.000          8.145          57.38          0.174           0.24          1.435          0.000          0.000        304.345
     20/11/1998              29          7.348          1.576          2.000          2.000          0.717             5.394     336847.057      19952.209        745.360        234.165        266.658        486.000        753.000          1.000          830.9            0.0          0.000          4.910         83.091           0.00           0.00          15.81          0.000           0.00           0.200        984.716          0.000          8.050          67.28          0.141           0.23          1.576          0.000          0.000        299.894
     21/11/1998              30          7.545          1.723          2.000          2.000          0.788             5.394     336847.057      19952.209        738.902        216.965        263.450        486.000        753.000          1.000          991.8            0.0          0.000          4.959         99.176           0.00           0.00          19.74          0.000           0.00           0.200       1077.133          0.000          8.960          79.43          0.148           0.26          1.723          0.000          0.000        296.287
     22/11/1998              31          7.763          1.920          2.000          2.000          0.862             5.394     336847.057      19952.209        734.260        216.261        259.878        486.000        753.000          1.000         1117.4            0.0          0.000          5.000        111.743           0.00           0.96          21.98          0.000           0.00           0.200       1200.257          0.000         12.349          88.80          0.197           0.36          1.920          0.000          0.000        292.722
     23/11/1998              32          8.065          2.213          2.000          2.000          0.960             5.394     336847.057      19952.209        745.922        214.628        254.956        486.000        753.000          1.000         1312.5            0.0          0.000          5.056        131.246           0.00           2.51          25.61          0.000           0.00           0.200       1383.331          0.000         12.055         103.12          0.293           0.36          2.213          0.000          0.000        288.754
     24/11/1998              33          8.359          2.499          2.000          2.000          1.107             5.394     336847.057      19952.209        742.414        225.991        250.151        486.000        753.000          1.000         1416.3            0.0          0.000          5.097        141.628           0.00           3.39          27.65          0.000           0.00           0.200       1562.047          0.000         12.643         110.59          0.286           0.37          2.499          0.000          0.000        283.285
     25/11/1998              34          8.667          2.786          2.000          2.000          1.250             5.394     336847.057      19952.209        795.272        234.627        245.112        486.000        753.000          1.000         1556.0            0.0          0.000          5.131        155.600           0.00           4.63          30.54          0.000           0.00           0.200       1741.033          0.000         10.140         120.44          0.286           0.31          2.786          0.000          0.000        277.945
     26/11/1998              35          8.914          3.048          2.000          2.000          1.393             5.394     336847.057      19952.209        793.020        228.462        241.070        486.000        753.000          1.000         1779.2            0.0          0.000          5.165        177.924           0.00           6.71          35.39          0.000           0.00           0.200       1904.850          0.000         10.335         135.83          0.262           0.33          3.048          0.000          0.000        272.346
     27/11/1998              36          9.166          3.282          2.000          2.000          1.524             5.394     336847.057      19952.209        780.093        221.994        236.950        486.000        753.000          1.000         2016.1            0.0          0.000          5.194        201.611           0.00           9.00          40.75          0.000           0.00           0.200       2050.994          0.000          8.950         151.86          0.234           0.30          3.282          0.000          0.000        267.855
     28/11/1998              37          9.385          3.562          2.000          2.000          1.641             5.394     336847.057      19952.209        768.323        216.005        233.383        486.000        753.000          1.000         2212.1            0.0          0.000          5.235        221.207           0.00          10.97          45.34          0.000           0.00           0.200       2226.108          0.000         12.320         164.89          0.280           0.36          3.562          0.000          0.000        263.278
     29/11/1998              38          9.685          3.863          2.000          2.000          1.781             5.394     336847.057      19952.209        784.728        218.276        228.472        486.000        753.000          1.000         2477.1            0.0          0.000          5.272        247.713           0.00          13.72          51.76          0.000           0.00           0.200       2414.388          0.000         11.120         182.24          0.301           0.38          3.863          0.000          0.000        259.314
     30/11/1998              39          9.956          4.185          2.000          2.000          1.932             5.394     336847.057      19952.209        770.207        211.874        224.040        486.000        753.000          1.000         2802.3            0.0          0.000          5.312        280.228           0.00          17.23          59.95          0.000           0.00           0.200       2615.765          0.000         12.297         203.04          0.322           0.42          4.185          0.000          0.000        253.858
     01/12/1998              40         10.256          4.472          2.000          2.000          2.093             5.394     336847.057      19952.209        759.815        213.296        219.139        486.000        753.000          1.000         3056.3            0.0          0.000          5.343        305.633           0.00          20.08          66.59          0.000           0.00           0.200       2794.972          0.000          9.255         218.97          0.287           0.37          4.472          0.000          0.000        248.933
     02/12/1998              41         10.482          4.722          2.000          2.000          2.236             5.394     336847.057      19952.209        749.449        203.086        215.450        486.000        753.000          1.000         3369.9            0.0          0.000          5.376        336.990           0.00          23.72          75.08          0.000           0.00           0.200       2951.514          0.000         10.195         238.19          0.250           0.35          4.722          0.000          0.000        243.487
     03/12/1998              42         10.731          5.088          2.000          2.000          2.361             5.394     336847.057      19952.209        736.230        199.972        211.386        486.000        753.000          1.000         3700.5            0.0          0.000          5.413        370.053           0.00          27.66          84.28          0.000           0.00           0.200       3180.215          0.000         11.060         258.12          0.366           0.48          5.088          0.000          0.000        239.388
     04/12/1998              43         11.000          5.535          2.000          2.000          2.544             5.394     336847.057      19952.209        722.281        203.075        206.977        486.000        753.000          1.000         4007.0            0.0          0.000          5.449        400.696           0.00          31.41          93.04          0.000           0.00           0.200       3459.263          0.000         10.989         276.24          0.446           0.55          5.535          0.000          0.000        234.873
     05/12/1998              44         11.268          5.898          1.910          2.000          2.767             5.394     336847.057      19952.209        713.443        207.164        202.598        486.000        753.000          1.000         4282.0            0.0          0.000          5.491        428.204           0.00          34.88         101.14          0.000           0.00           0.200       3686.160          0.000         12.951         292.18          0.363           0.45          5.898          0.000          0.000        229.975
     06/12/1998              45         11.584          6.275          1.684          2.000          2.949             5.394     336847.057      19952.209        704.500        209.271        197.435        486.000        753.000          1.000         4603.6            0.0          0.000          5.534        460.363           0.00          39.06         110.87          0.000           0.00           0.200       3922.186          0.000         12.873         310.43          0.378           0.48          6.275          0.000          0.000        225.108
     07/12/1998              46         11.898          6.661          1.384          2.000          3.138             5.394     336847.057      19952.209        695.014        209.684        192.304        486.000        753.000          1.000         4924.0            0.0          0.000          5.577        492.396           0.00          43.34         120.88          0.000           0.00           0.200       4162.856          0.000         13.132         328.18          0.385           0.49          6.661          0.000          0.000        219.373
     08/12/1998              47         12.219          7.074          1.084          2.000          3.330             5.394     336847.057      19952.209        689.608        211.475        187.070        486.000        753.000          1.000         5180.6            0.0          0.000          5.624        518.058           0.00          46.88         129.13          0.000           0.04           0.200       4422.026          0.509         14.418         342.02          0.415           0.50          7.074          0.001          0.509        213.671
     09/12/1998              48         12.570          7.396          1.000          2.000          3.538             5.394     336847.057      19952.209        682.776        212.677        181.323        486.000        753.000          1.000         5501.3            0.0          0.000          5.667        550.125           0.00          51.42         139.73          0.000           2.06           0.200       4649.327         26.632         12.860         356.91          0.364           0.47          7.396          0.043         26.632        207.856
